,id,soc_code,description,Employed,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino",16-19,20-24,25-34,35-44,45-54,55-64,65+
0,1,13-2011,Accountants and Auditors,1696.0,0.5970000000000001,0.7729999999999999,0.095,0.11199999999999999,0.10199999999999998,0.00294811320754717,0.04245283018867924,0.27476415094339623,0.2116745283018868,0.2116745283018868,0.18160377358490565,0.07429245283018868
1,4,11-3010,Administrative Services and Facilities Managers,199.0,0.402537688442211,0.8791155778894472,0.06402512562814071,0.03739195979899497,0.14004522613065326,0.0,0.01507537688442211,0.1457286432160804,0.21105527638190955,0.3065326633165829,0.2613065326633166,0.06030150753768844
2,5,25-3011,Adult Basic and Secondary Education and ESL Teachers,882.0,0.6747789115646258,0.7839251700680271,0.11776870748299319,0.06487414965986396,0.11092857142857143,0.05215419501133787,0.11791383219954649,0.2222222222222222,0.18027210884353742,0.17913832199546487,0.14285714285714285,0.10430839002267574
3,6,11-2011,"Advertising, Promotions, and Marketing Managers",56.0,0.521,0.8049999999999999,0.147,0.039,0.034999999999999996,0.017857142857142856,0.017857142857142856,0.39285714285714285,0.3392857142857143,0.19642857142857142,0.017857142857142856,0.017857142857142856
4,7,41-3011,Advertising Sales Agents,141.0,0.5379999999999999,0.8959999999999999,0.055,0.024,0.16399999999999998,0.0,0.09929078014184398,0.28368794326241137,0.19148936170212766,0.20567375886524822,0.14893617021276595,0.07092198581560284
5,8,17-3021,Aerospace Engineering and Operations Technicians,426.0,0.1603943661971831,0.770774647887324,0.0896150234741784,0.08392018779342723,0.162075117370892,0.009389671361502348,0.08215962441314555,0.22769953051643194,0.1784037558685446,0.2535211267605634,0.18309859154929578,0.06807511737089202
6,9,17-2011,Aerospace Engineers,129.0,0.11599999999999999,0.833,0.06799999999999999,0.091,0.105,0.0,0.03875968992248062,0.29457364341085274,0.20155038759689922,0.15503875968992248,0.27906976744186046,0.031007751937984496
7,14,49-3011,Aircraft and Avionics Equipment Mechanics and Technicians,153.0,0.054000000000000006,0.8429999999999999,0.10800000000000001,0.032,0.22999999999999998,0.006535947712418301,0.0392156862745098,0.2679738562091503,0.24836601307189543,0.22875816993464052,0.16339869281045752,0.0457516339869281
8,15,53-2012,Airline and Commercial Pilots,155.0,0.056,0.94,0.033999999999999996,0.022000000000000002,0.05,0.0,0.01935483870967742,0.14193548387096774,0.25161290322580643,0.25806451612903225,0.2645161290322581,0.06451612903225806
9,17,39-2011,Animal Care and Service Workers,72.0,0.526,0.885,0.07500000000000001,0.0,0.127,0.06944444444444445,0.1111111111111111,0.16666666666666666,0.19444444444444445,0.20833333333333334,0.1388888888888889,0.09722222222222222
10,19,19-3091,Anthropologists and Archeologists,0.0,,,,,,,,,,,,
11,20,23-1022,"Arbitrators, Mediators, and Conciliators",0.0,,,,,,,,,,,,
12,21,17-1011,Architects,190.0,0.282,0.788,0.072,0.125,0.08499999999999999,0.0,0.021052631578947368,0.2631578947368421,0.25263157894736843,0.17894736842105263,0.18421052631578946,0.1
13,22,11-9041,Architectural and Engineering Managers,171.0,0.095,0.842,0.034,0.095,0.04700000000000001,0.0,0.011695906432748537,0.1111111111111111,0.2631578947368421,0.25146198830409355,0.2982456140350877,0.05847953216374269
14,23,25-4011,"Archivists, Curators, and Museum Workers",57.0,0.636,0.946,0.005999999999999999,0.044,0.076,0.0,0.05263157894736842,0.42105263157894735,0.17543859649122806,0.07017543859649122,0.15789473684210525,0.10526315789473684
15,24,27-1011,Art Directors,256.0,0.535,0.857,0.036000000000000004,0.061,0.09300000000000001,0.00390625,0.05078125,0.2890625,0.19140625,0.1640625,0.15625,0.14453125
16,26,27-2021,Athletes and Sports Competitors,210.0,0.448,0.7519999999999999,0.147,0.034999999999999996,0.054,0.12857142857142856,0.1523809523809524,0.3,0.1761904761904762,0.11428571428571428,0.07142857142857142,0.047619047619047616
17,27,29-9091,Athletic Trainers,100.0,0.628,0.6890000000000001,0.17300000000000001,0.10800000000000001,0.035,0.0,0.04,0.31,0.29,0.14,0.15,0.07
18,30,49-3021,Automotive Body and Glass Repairers,121.0,0.01,0.8740000000000001,0.073,0.022000000000000002,0.27899999999999997,0.049586776859504134,0.08264462809917356,0.15702479338842976,0.24793388429752067,0.21487603305785125,0.2066115702479339,0.049586776859504134
19,31,49-3023,Automotive Service Technicians and Mechanics,750.0,0.014,0.828,0.091,0.035,0.283,0.03333333333333333,0.124,0.26,0.19866666666666666,0.188,0.15333333333333332,0.042666666666666665
20,32,51-3011,Bakers,235.0,0.641,0.7699999999999999,0.11800000000000001,0.06699999999999999,0.269,0.04680851063829787,0.13617021276595745,0.2425531914893617,0.18723404255319148,0.17872340425531916,0.1574468085106383,0.05106382978723404
21,33,39-5012,"Barbers, Hairstylists, and Cosmetologists",646.0,0.908,0.7749999999999999,0.144,0.051,0.146,0.0046439628482972135,0.08359133126934984,0.24148606811145512,0.26006191950464397,0.18421052631578946,0.13622291021671826,0.08978328173374613
22,34,35-3011,Bartenders,301.0,0.489,0.8729999999999999,0.052000000000000005,0.021,0.16699999999999998,0.009966777408637873,0.15946843853820597,0.3953488372093023,0.20930232558139536,0.11960132890365449,0.06976744186046512,0.036544850498338874
23,35,43-3011,Bill and Account Collectors,98.0,0.66,0.7209999999999999,0.23899999999999996,0.021,0.15800000000000003,0.030612244897959183,0.11224489795918367,0.23469387755102042,0.19387755102040816,0.20408163265306123,0.17346938775510204,0.05102040816326531
